,Unnamed: 0,trial_num,image,is_repeat,type,Image Index,Block,Onset,Offset,Response,RT
54,54,55,T3_7,True,target,Filler-15,1,136.91253805160522,138.92825984954834,0.0,0.5324888229370117
55,55,56,T3_10,True,target,Filler-656,1,139.44358086585999,141.44455695152283,0.0,0.4193451404571533
56,56,57,T2_4,True,target,Filler-5605,1,141.9611599445343,143.97789692878723,0.0,0.3505220413208008
57,57,58,T1_9,True,target,Filler-1828,1,144.49331784248352,146.49362993240356,0.0,0.9008290767669678
58,58,59,F_S17,False,filler,Target-2191,1,146.99489402770996,149.01154589653015,0.0,0.8664348125457764
59,59,60,T3_11,False,target,Filler-1159,1,149.52803802490234,151.54334783554077,0.0,1.032287836074829
60,60,61,T3_6,True,target,Target-609,1,152.0448980331421,154.06115984916687,0.0,0.6829140186309814
61,61,62,T2_13,False,target,Filler-1943,1,154.5766098499298,156.59286284446716,0.0,0.6668100357055664
62,62,63,T1_3,False,target,Target-270,1,157.1093828678131,159.1249279975891,0.0,1.016714096069336
63,63,64,T4_10,True,target,Filler-1569,1,159.628408908844,161.64284801483154,0.0,0.6485249996185303
64,64,65,T3_8,True,target,Filler-4687,1,162.14306497573853,164.1433298587799,0.0,0.5812849998474121
65,65,66,T2_7,False,target,Filler-5741,1,164.65989685058594,166.67648196220398,0.0,0.7662901878356934
66,66,67,T1_5,False,target,Filler-4507,1,167.1769540309906,169.19209384918213,0.0,1.0322198867797852
67,67,68,T3_1,True,target,Filler-426,1,169.69356989860535,171.70959091186523,0.0,0.7166359424591064
68,68,69,F_S12,False,filler,Target-2064,1,172.20982694625854,174.22676181793213,0.0,0.5322360992431641
69,69,70,T2_15,False,target,Filler-756,1,174.74315881729126,176.7592179775238,0.0,0.5337221622467041
70,70,71,T2_11,False,target,Target-100,1,177.2764928340912,179.29263997077942,0.0,0.7823071479797363
71,71,72,T3_2,False,target,Filler-2269,1,179.79277300834656,181.7931728363037,0.0,0.8328909873962402
72,72,73,T4_7,True,target,Filler-2084,1,182.30944395065308,184.30992889404297,0.0,0.7168080806732178
73,73,74,T3_12,False,target,Filler-68,1,184.81053495407104,186.82632398605347,0.0,0.5980560779571533
74,74,75,T4_6,False,target,Filler-7460,1,187.32679200172424,189.34257698059082,0.0,0.5487978458404541
75,75,76,T3_15,True,target,Filler-358,1,189.843092918396,191.85937404632568,0.0,0.50046706199646
76,76,77,T2_3,True,target,Filler-5531,1,192.37489891052246,194.37609386444092,0.0,0.5340299606323242
77,77,78,F_S1,False,filler,Target-1834,1,194.8921468257904,196.8925838470459,0.0,0.8674840927124023
78,78,79,T2_9,False,target,Filler-1929,1,197.39303994178772,199.408921957016,0.0,0.49892687797546387
79,79,80,T2_10,True,target,Filler-366,1,199.9094648361206,201.92551493644714,0.0,0.4495429992675781
80,80,81,T2_1,True,target,Filler-180,1,202.42622995376587,204.4420018196106,0.0,0.5161809921264648
81,81,82,T3_3,False,target,Target-1988,1,204.94292283058167,206.95840787887573,1.0,0.6177940368652344
82,82,83,T4_8,True,target,Filler-624,1,207.45862889289856,209.45877289772034,1.0,1.1499040126800537
83,83,84,T1_11,False,target,Filler-6285,1,209.95911383628845,211.97531986236572,0.0,0.7669022083282471
84,84,85,T4_9,False,target,Filler-6110,1,212.49292302131653,214.5092170238495,0.0,1.2831158638000488
85,85,86,T2_7,True,target,Filler-5741,1,215.00951886177063,217.02551889419556,0.0,0.8480551242828369
86,86,87,F_S19,False,filler,Target-2199,1,217.5418038368225,219.54208493232727,0.0,0.550584077835083
87,87,88,T2_2,False,target,Filler-4684,1,220.04228281974792,222.0588879585266,1.0,1.1998770236968994
88,88,89,T3_11,True,target,Filler-1159,1,222.57589292526245,224.5908019542694,1.0,0.9828200340270996
89,89,90,T2_13,True,target,Filler-1943,1,225.09167003631592,227.10763001441956,1.0,0.8672928810119629
90,90,91,T4_13,False,target,Filler-3170,1,227.60809993743896,229.60836005210876,0.0,0.7500989437103271
91,91,92,T3_2,True,target,Filler-2269,1,230.12497186660767,232.1421959400177,1.0,0.9330880641937256
92,92,93,T1_5,True,target,Filler-4507,1,232.65741896629333,234.65788793563843,1.0,0.8178300857543945
93,93,94,T4_12,False,target,Target-675,1,235.15834784507751,237.17538785934448,0.0,1.2996881008148193
94,94,95,T2_8,False,target,Target-1292,1,237.6907160282135,239.69113683700562,0.0,0.951218843460083
95,95,96,T3_5,False,target,Filler-7517,1,240.19123196601868,242.2077088356018,0.0,0.9173030853271484
96,96,97,T1_7,False,target,Target-479,1,242.72404098510742,244.740571975708,0.0,0.9001688957214355
97,97,98,T1_14,False,target,Filler-2584,1,245.25731801986694,247.25782799720764,0.0,0.6673660278320312
98,98,99,T2_11,True,target,Target-100,1,247.75823998451233,249.77464389801025,1.0,0.7325809001922607
99,99,100,T1_1,False,target,Filler-6188,1,250.29112887382507,252.30759382247925,1.0,0.850135087966919
100,100,101,T2_15,True,target,Filler-756,1,252.82381200790405,254.84067797660828,0.0,0.7332048416137695
101,101,102,T1_3,True,target,Target-270,1,255.34080600738525,257.356901884079,0.0,0.9167389869689941
